feature,source_group,feature_type,non_null_count,null_ratio,first_valid_date,last_valid_date,latest_value,history_days,usable_for_scoring,usable_for_research,usable_for_dashboard,is_current_only,is_placeholder,is_forward_looking,is_label_or_phase,is_core_macro,is_core_liquidity,is_core_risk,is_core_crypto,eligibility_status,exclusion_reason,notes
btc_forward_return_180d,future_return,forward_return,180,0.9415394608639168,2025-05-10,2025-11-05,-0.2270149190527716,180,False,True,True,False,False,True,False,False,False,False,False,excluded_forward_looking,forward-looking return; allowed only for research/backtesting,source:transmission;forward-looking return; allowed only for research/backtesting
btc_forward_return_30d,future_return,forward_return,330,0.8928223449171809,2025-05-10,2026-04-04,0.1736318033301167,330,False,True,True,False,False,True,False,False,False,False,False,excluded_forward_looking,forward-looking return; allowed only for research/backtesting,source:transmission;forward-looking return; allowed only for research/backtesting
btc_forward_return_90d,future_return,forward_return,270,0.9123091912958752,2025-05-10,2026-02-03,-0.0026039575216401,270,False,True,True,False,False,True,False,False,False,False,False,excluded_forward_looking,forward-looking return; allowed only for research/backtesting,source:transmission;forward-looking return; allowed only for research/backtesting
date,unknown,date,3079,0.0,,,,0,False,False,False,False,False,False,False,False,False,False,False,excluded_date,date column,date column
fed_target_lower,fed_policy,raw_level,0,1.0,,,,0,False,False,False,False,False,False,False,False,False,False,False,excluded_too_sparse,too many missing values,field_missing;too many missing values
fed_target_upper,fed_policy,raw_level,0,1.0,,,,0,False,False,False,False,False,False,False,False,False,False,False,excluded_too_sparse,too many missing values,field_missing;too many missing values
stablecoin_liquidity_score,stablecoin_liquidity,score_placeholder,0,1.0,,,,0,False,False,False,False,True,False,False,False,False,False,False,excluded_placeholder,placeholder field with insufficient real values,placeholder_score;source:stablecoin_liquidity;placeholder field with insufficient real values
usdc_dominance,stablecoin_liquidity,ratio,1,0.9996752192270216,2026-05-04,2026-05-04,0.2425513959781554,1,False,False,True,True,False,False,False,False,False,False,False,excluded_current_only,current-only field; insufficient history,current_only_field;source:stablecoin_liquidity;current-only field; insufficient history
usdc_supply,stablecoin_liquidity,raw_level,1,0.9996752192270216,2026-05-04,2026-05-04,77408318211.26457,1,False,False,True,True,False,False,False,False,False,False,False,excluded_current_only,current-only field; insufficient history,current_only_field;source:stablecoin_liquidity;current-only field; insufficient history
usdc_supply_change_30d,stablecoin_liquidity,absolute_change,0,1.0,,,,0,False,False,False,False,False,False,False,False,False,False,False,excluded_too_sparse,too many missing values,source:stablecoin_liquidity;too many missing values
usdc_supply_change_90d,stablecoin_liquidity,absolute_change,0,1.0,,,,0,False,False,False,False,False,False,False,False,False,False,False,excluded_too_sparse,too many missing values,source:stablecoin_liquidity;too many missing values
usdt_dominance,stablecoin_liquidity,ratio,1,0.9996752192270216,2026-05-04,2026-05-04,0.5938126868557508,1,False,False,True,True,False,False,False,False,False,False,False,excluded_current_only,current-only field; insufficient history,current_only_field;source:stablecoin_liquidity;current-only field; insufficient history
usdt_supply,stablecoin_liquidity,raw_level,1,0.9996752192270216,2026-05-04,2026-05-04,189510521003.7865,1,False,False,True,True,False,False,False,False,False,False,False,excluded_current_only,current-only field; insufficient history,current_only_field;source:stablecoin_liquidity;current-only field; insufficient history
usdt_supply_change_30d,stablecoin_liquidity,absolute_change,0,1.0,,,,0,False,False,False,False,False,False,False,False,False,False,False,excluded_too_sparse,too many missing values,source:stablecoin_liquidity;too many missing values
usdt_supply_change_90d,stablecoin_liquidity,absolute_change,0,1.0,,,,0,False,False,False,False,False,False,False,False,False,False,False,excluded_too_sparse,too many missing values,source:stablecoin_liquidity;too many missing values
